## Samples	DCM-100-1	DCM-100-2	DCM-102	DCM-109	DCM-110	DCM-111	DCM-112	DCM-122	DCM-128	DCM-132	DCM-133	DCM-137	DCM-138	DCM-142	DCM-150	DCM-151	DCM-155	DCM-158	DCM-168	DCM-173	DCM-180	DCM-188	DCM-189	DCM-194	DCM-201	DCM-25	DCM-39	DCM-41	DCM-42	DCM-52	DCM-68	DCM-72	DCM-76	DCM-78	DCM-82	DCM-85	DCM-93	DCM-98	MIX-123	MIX-168	SRF-100	SRF-102	SRF-109	SRF-110	SRF-111	SRF-112	SRF-122	SRF-123	SRF-124	SRF-125	SRF-128	SRF-132	SRF-133	SRF-137	SRF-138	SRF-140	SRF-141	SRF-142	SRF-145	SRF-148	SRF-149	SRF-150	SRF-151	SRF-152	SRF-155	SRF-178	SRF-18	SRF-180	SRF-188	SRF-189	SRF-191	SRF-193	SRF-194	SRF-196	SRF-201	SRF-205	SRF-206	SRF-208	SRF-209	SRF-31	SRF-32	SRF-33	SRF-41	SRF-42	SRF-52	SRF-67	SRF-68	SRF-70	SRF-72	SRF-76	SRF-78	SRF-82	SRF-84	SRF-85	SRF-93	SRF-96	SRF-98	SRF-99
OocM-PRO-HLVI	0	0	15.97072279	3.70091495	24.31007421	1.403921807	0	0	58.35874139	0.971930915	0	0	0	0	0.170667643	3.15518018	0	0	0	0	0	0	0	0	0	0	0.83893026	124.028294	13.82070728	0	0.710536153	1.582390792	1.489679261	1.311140299	0	0	0	0	0	0	12.85305281	71.57083417	19.49730955	133.0751802	85.77042259	1.712033524	37.43944913	0	5.026415172	12.51607115	15.3346005	0	12.96899578	2.093952887	11.17167191	18.66876129	0	0	0	0	0	0	0.175290075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.61177485	6.285275357	5.886759796	6.104196945	11.87063801	0	0	0	126.8342832	0	0	1.034453725	0	0	0	20.11339814	0	0	0
OocM-PRO-LLI	0	0	62.28581887	1.850457475	63.58019408	42.11765421	9.782013029	0	1.423383936	53.4562003	1.6788004	20.64069477	41.87951177	0	0.170667643	1.262072072	0	0	0	0	0	0	0	0	0	0	0	1.170078246	0	0	0.236845384	19.38428721	3.724198153	0.917798209	0	0	0	1.383758078	0	0	8.033158007	0	0	0	85.77042259	1.712033524	7.487889826	0	0.71805931	0	6.133840201	0	0	1.046976443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.586150513	49.49630563	0	0	0	0	0	0	0	0	0	0
OocM-PRO-LLIIxIII	0.456921835	0	9.582433672	0	9.350028542	5.615687228	3.633319125	0	10.67537952	24.29827286	0	6.350983007	11.1678698	0	0	3.786216216	0	0	0	0	0	0	0	0	0	0	0.069910855	13.65091287	0.498043506	0	0.236845384	0.395597698	5.58629723	0.52445612	0	0	0	0.125796189	0	0	3.213263203	17.89270854	0	39.92255405	12.25291751	0	29.95155931	0	2.154177931	15.01928538	7.667300251	0	0.762882105	1.046976443	3.723890635	9.334380643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.437342359	0	0	0	0	0	0	0	0	0	0	1.034453725	0	0	0	0	0	0	0
TcyC-PRO-LLIIxIII	48.82942197	0	91.02547839	0	133.2267225	330.0694059	27.87639694	0	0	200.8083676	143.5253854	11.31173887	238.693179	3.939646865	2.431809765	17.98301737	0	0	0	0	0	0	0	0	0	0	0	25.00832308	13.30598289	0	33.7476342	76.09671894	29.1859529	10.2751995	0	0	0	24.19801044	0	0	11.44628926	42.49161566	0	379.2324273	0	0	133.3668415	0	0	0	10.92498572	0	10.87015745	0	0	0	62.26731109	0	25.00630617	0	0	60.07541284	7.49302166	47.65982439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.096081861	0	7.293850914	0	0	0	0	406.813455	0	0	0	2.456621366	0	0	0	0	0	0	0
TcyN-PRO-HLI	3.317464182	0	0	82.10386829	0	3.397707551	0	0	319.5060263	16.46556021	634.8369044	0	0	65.24189679	780.3396906	1359.975736	0	0	0	0	0	0	0	0	0	189.410944	1.903444469	33.9812403	3.76669433	49.23698194	3076.663889	58.40185831	110.4108986	168.9708752	0	0	6.598376426	136.6963443	0	0	34.99466898	0	262.8962125	289.8562356	622.7329991	0	154.0357214	0	46.92098895	436.1878769	334.0089091	0	7633.496296	68.41380569	18.02478068	250.7561314	118.9809144	18.02351192	4.247312467	0	448.9145682	3417.588768	2800.335939	10920.16136	0	0	9347.360539	0	0	0	0	0	0	0	0	0	0	0	0	58.78817855	17.63132228	0	98.24110934	124.182455	0	0	16400.97032	3301.676107	160.3696373	106.5609702	919.6328643	0	0	0	1090.376654	5322.917753	0	797.0213819
TcyN-PRO-HLII	0	0	1.932580758	23.88476168	18.10281024	0	35.51097294	0	871.5366539	42.34001198	0	0	20.27097701	175.3166867	41.71724692	58.79737882	0	0	0	0	0	0	0	0	0	0	12.64733103	128.3735745	7.533388661	20.64481988	150.7522315	24.41389159	45.51632963	53.15046309	0	0	0	7.611155028	0	0	0	0	117.9662492	0	51.89441659	134.6600281	40.77416155	0	6.951257622	0	16.70044545	15.24782431	169.858909	40.54151448	576.7929817	460.8491063	166.5732802	162.6987293	37.51792679	45.90446193	56.246979	251.0131878	158.02532	467.8912723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214.2811715	91.2680212	107.4709366	370.4354612	140.8636803	0	0	612.2773005	108.5585114	264.0672974	83.21095683	203.2038135	0	0	0	14.60325875	159.3504451	19.41342305	229.0200397
TcyN-PRO-LLI	75.7487655	128.0975651	162.3367837	2.985595211	99.56545631	463.7870807	21.30658376	267.1335866	9.473224499	196.4106111	154.3923352	182.5230194	216.2237547	4.684033615	2.994554853	2.290806967	0	0	0	0	0	0	0	0	0	57.87556621	0.042298766	21.23827519	10.09474081	3.836647943	26.94051286	87.60278746	12.16773168	12.851306	0	0	6.598376426	15.67897936	401.7994369	0	0	21.65155873	16.85232131	161.031242	88.96185702	0	81.54832309	0	4.344536014	0	25.97847071	0	21.23236363	0	0	0	8.989669089	1.948487776	10.61828117	43.64686544	12.73516506	75.5080321	4.666519517	66.37903864	0	0	663.5471988	0	0	0	0	0	0	0	0	0	0	0	315.3787815	11.13148943	0.691424403	0	8.494532011	0	0	134.8401324	399.2278323	157.2226717	14.46944095	1.273637094	5.007075486	0	0	0	4.867752918	0	0	0
TcyN-SYN	68.56092644	0	222.2467872	34.33434492	88.25119991	96.83466519	20.29198454	72.85461452	222.1901746	145.837819	253.9347618	44.18978363	60.81293102	178.662425	18.48363168	58.0337765	760.9012781	0	0	0	0	0	0	0	0	99.59107173	5.752632173	3.303731695	11.30008299	0	81.68134218	44.04074561	95.53922654	17.13507467	0	0	1728.774624	1.370007905	0	0	110.8164518	303.1218223	977.4346361	1030.599949	341.0204519	0	140.4443342	930.5477053	145.9764101	287.7628354	283.9075727	0	342.4872567	108.9553202	27.03717102	356.932151	1339.989498	132.4971687	321.3799767	139.2184501	133.7192331	121.7652049	28.84757519	1437.672837	1327.988765	0	432.7481731	0	0	0	0	0	0	676.0694941	0	0	2898.976173	2453.195284	2049.96208	49.74384338	4.49425862	175.9178443	7.755877054	0	0	6000.385891	1153.538112	550.2793511	19.29258794	8.915459661	29.62519663	0	0	0	1479.796887	0	0	1.18663233
urtA-PRO-HLI	2108.501162	3831.907807	293.50291	175.6164022	990.63006	2412.947779	5206.895958	4093.306487	3299.515759	4024.299263	7786.688301	2067.943458	2336.13928	9566.908415	17046.69115	12715.73988	4856.638445	0	1338.419745	0	0	0	0	0	0	10509.44836	81.44309011	1670.569232	366.8063642	8061.552184	23317.29124	3478.917783	3109.688918	2677.710265	0	9407.160361	3435.235383	6934.25491	3900.532841	0	408.2188761	49.82186633	4806.590091	991.2078976	1876.48935	12589.96637	1787.876348	6119.386085	8211.121679	1036.809333	1853.13091	1174.986131	102152.048	2542.12733	845.0811823	7394.548846	6903.312457	5146.631901	11362.78252	13510.63474	26341.14837	95935.25155	145134.6129	84227.61007	4446.192062	0	4763.176935	0	0	0	0	0	0	0	0	0	0	0	544.2827359	2045.349466	2891.08148	9371.694792	7325.072435	2374.257033	4190.329371	1764.702109	203317.1856	66167.19763	2044.884667	5299.012781	24151.79461	0	1048.647494	0	34384.4719	41298.80148	22624.8442	12824.16314
urtA-PRO-HLII	27375.52716	28241.89744	4262.462716	3926.250321	19265.86713	17754.56553	27572.63767	23945.14443	87995.01367	42309.26868	10920.41255	35374.98574	28387.39628	117747.3054	17282.34107	6678.322223	40895.81386	9303.832826	3390.663353	0	0	0	0	0	0	21013.27566	2081.70193	22717.62382	11202.93549	101444.0667	7776.387358	49751.85643	23765.0749	13195.05668	0	18030.39069	5932.898236	13093.4348	20586.14555	6613.997028	9697.714724	1698.095278	117374.6421	16683.789	32719.15066	42286.74621	26612.25275	5793.998489	14793.2152	16212.56141	30517.94908	22414.90036	31784.30736	50440.96628	43910.52192	190679.2934	49673.55092	146034.7694	64523.89224	66829.78393	49063.79245	61280.01989	66785.31373	33362.27368	43881.31822	0	1858.800755	0	0	0	0	0	0	0	0	0	0	0	816.4241038	61388.2996	106787.843	103237.7702	253415.3819	97369.59507	123711.5467	14195.1862	58704.37446	95667.43978	49433.76889	61465.32445	113445.841	0	9962.151198	0	38394.45348	16018.33609	37070.5706	29765.0558
urtA-PRO-HLVI	11.76867446	0	6.670520682	4.72317952	16.92272113	25.40973765	53.11372404	41.91098792	75.30426356	63.59854249	22.20427401	14.36839388	0	104.8960907	33.97826015	21.08527703	125.0636509	0	0	0	0	0	0	0	0	0.864779442	0.705661671	47.51334562	6.15388749	72.36147866	16.1575279	51.22130196	28.51736398	16.7026034	0	0	22.77504121	38.18017251	14.44641793	0	30.19701275	0	63.98445866	9.263625211	21.32374261	71.50681394	33.88103866	20.99274815	80.47669023	33.10819719	64.04830336	7.139672671	48.32620959	53.93274726	31.10728278	113.0625219	46.23908225	45.11639639	79.81598302	156.7128	203.9109896	129.5295928	119.5824136	76.37158209	15.27901052	0	547.6823653	0	0	0	0	0	0	0	0	0	0	0	0	39.42215485	87.90383257	103.1599103	74.78682881	37.5850726	6.051891061	174.5309778	82.81129431	30.14843347	25.66510607	42.98411068	80.65160299	0	0	0	232.4221165	0	0	28.21547985
urtA-PRO-LLI	40481.69557	5232.027967	3892.248818	574.0810017	16875.85821	28089.48767	9596.268589	18203.33909	9872.785292	56185.25281	16253.52857	41196.39579	38583.22545	12470.50919	6517.469875	2701.551119	13861.22131	1674.689909	1695.331677	0	0	0	0	0	0	25173.51336	252.3348803	11189.80015	2826.021149	13509.73567	4242.999802	49856.22672	4404.89574	4058.550084	0	1763.842568	2292.687482	3583.506926	27534.87257	1058.239524	1510.969045	489.9150189	12785.25819	3242.268824	11885.85413	6054.24358	5045.668526	1062.757875	2773.696609	2317.573804	5728.053264	2233.901584	12052.87531	7554.957541	3841.749424	24318.83876	4453.857916	13248.24765	7457.90772	7741.265992	12750.54197	21290.98657	27636.47197	13857.71671	15088.02289	0	0	0	0	0	0	0	0	0	0	0	0	0	272.1413679	6194.281123	10725.06308	12428.89842	28844.76996	9282.44669	22903.98691	3296.696248	26378.15761	34252.92734	5137.183122	7419.399423	14941.90963	0	2097.294989	0	7860.347962	5136.127464	7317.790664	4670.344548
urtA-PRO-LLIIxIII	102.419275	1031.667486	35.5761103	84.15847145	339.7561704	54.72866571	58.36672972	1271.299967	261.0878085	764.5356703	215.6151871	344.8414532	231.2816758	999.4961453	233.9272526	247.7520051	3168.279157	930.3832826	446.1399149	0	0	0	0	0	0	96.63910265	12.77490956	360.2869122	25.13559679	321.2387212	51.93491112	307.0524284	231.7683945	66.08024514	208.2569747	0	740.1888394	47.98792325	1906.927166	1146.426151	312.0357984	45.67004414	1231.216098	250.1178807	848.6849558	73.89037441	854.8446676	627.1583509	1181.157882	536.7013019	1058.931949	46.30587704	229.9477885	739.7532225	155.5364139	521.1272561	670.4666926	502.7255597	1271.761811	1624.704802	3123.37911	776.3949006	2149.798942	588.6199985	3666.962525	0	265.542965	0	0	0	0	0	0	0	0	0	0	0	272.1413679	161.6908686	232.8854931	768.26517	463.5933536	123.9507713	2074.588256	3102.772939	300.3289607	1171.481986	93.64295457	123.5793182	264.5180551	0	0	0	2122.601979	62.58195468	89.34349532	115.1373613
urtA-PRO-LLIV	1349.262623	15327.63123	502.512558	322.0349673	1084.3559	752.5191535	318.4877885	9402.031624	5184.104039	3623.087181	3539.244412	4206.623625	888.199377	26230.75913	3733.450438	2976.098997	56487.08234	2605.073191	9458.166197	0	0	0	0	0	0	1842.412601	290.5866095	1453.636871	202.8182638	1479.33768	834.585778	1711.782865	1094.029782	862.1464027	0	979.9125376	5944.285757	351.5903501	2773.712242	5820.317384	154.3402874	1357.645858	7354.3349	1463.652783	1044.863388	1231.10898	1219.717392	23624.71395	31711.31494	1775.644892	2198.991749	576.6815612	6038.120912	1967.816454	534.0083544	10122.34463	26222.73111	10189.01971	41488.42942	53884.96032	86124.92006	15825.69868	42024.06667	8618.812447	58335.26217	0	39383.341	0	0	0	0	0	0	0	0	0	0	15740.82913	1632.848208	1200.874879	2214.898152	27193.77195	5871.40345	1771.829628	758.9071391	32365.80022	3686.758823	3927.910189	656.887985	1054.087623	3958.649514	6255.95206	0	2625.354836	44759.45915	263.5493585	968.8185274	608.2256262
urtA-SYN	727.7493829	26086.4493	767.1098784	998.3083985	1991.674102	352.8044343	336.9705862	7837.354742	9099.430322	2985.748596	11594.13697	7228.407385	448.9585472	95699.10945	16518.66186	7082.017422	177652.9162	40936.86443	36494.24504	488.2376264	451.5729266	103.8123222	253.0727904	0	0	2228.752817	620.1306099	1557.351717	179.8495288	1570.039142	2248.039724	1471.097823	2037.954529	2231.486068	5622.938317	4899.562688	32572.10478	367.090099	28849.4966	12346.12779	1164.262603	2943.641936	15183.70593	4122.313219	4341.513995	516.0408406	4172.580222	54738.59079	67176.54256	6119.788871	6884.125139	180.9397046	13942.37699	4513.587889	1184.669019	18834.65666	66230.18441	26571.31566	105692.6505	130079.4163	227281.3868	43814.65658	126908.5448	29357.42243	174234.1965	63.74559314	62468.98252	3528.982805	174.2664796	5786.758537	10609.33309	0	0	2333.530189	0	0	7504.607674	10421.51446	15149.20282	2475.991482	1544.084516	59605.22606	5186.424086	1028.391561	8346.768151	126321.6433	9312.406083	3546.747852	912.8453942	1187.436058	10217.30992	5838.888589	2097.294989	2297.185481	122170.0253	407.2234234	448.1134687	360.8850891
