## Samples	DCM-100-1	DCM-100-2	DCM-102	DCM-109	DCM-110	DCM-111	DCM-112	DCM-122	DCM-128	DCM-132	DCM-133	DCM-137	DCM-138	DCM-142	DCM-150	DCM-151	DCM-155	DCM-158	DCM-168	DCM-173	DCM-180	DCM-188	DCM-189	DCM-194	DCM-201	DCM-25	DCM-39	DCM-41	DCM-42	DCM-52	DCM-68	DCM-72	DCM-76	DCM-78	DCM-82	DCM-85	DCM-93	DCM-98	MIX-123	MIX-168	SRF-100	SRF-102	SRF-109	SRF-110	SRF-111	SRF-112	SRF-122	SRF-123	SRF-124	SRF-125	SRF-128	SRF-132	SRF-133	SRF-137	SRF-138	SRF-140	SRF-141	SRF-142	SRF-145	SRF-148	SRF-149	SRF-150	SRF-151	SRF-152	SRF-155	SRF-178	SRF-18	SRF-180	SRF-188	SRF-189	SRF-191	SRF-193	SRF-194	SRF-196	SRF-201	SRF-205	SRF-206	SRF-208	SRF-209	SRF-31	SRF-32	SRF-33	SRF-41	SRF-42	SRF-52	SRF-67	SRF-68	SRF-70	SRF-72	SRF-76	SRF-78	SRF-82	SRF-84	SRF-85	SRF-93	SRF-96	SRF-98	SRF-99
natA-PRO-HLII	0	30.59473094	0	0	0	0	0	0	14.80960259	2.247212937	0	0	0	2.557099984	1.38110935	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7272984	0	0	0	7.74968625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.291606152	0	0	0	22.22865655	9.307508571	0	12.94086559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.656087957	0	0	0	0	0	0	0	0	0	0	0	0	0	0
natA-SYN	0	0	3.692609663	0	0	6.492048356	0	464.0145092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151575148	0	0	0	0.290854853	1895.318438	0	0	0	0	0	0	0	0	8.715739186	0	0	0	0	0	0	0	0	0	0.465375429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.332329623	0.990835863	0	0	0	0	0	1.83367866	0	0	0	0	0	0	0	0	0	0	0
natC-SYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nirA-PRO-HLI	0	0	0	0	0	4.788179967	0	0	5.259103427	2.209895219	0	1.805041744	14.28331965	3.771954319	1.406680568	2.152195437	0	0	0	0	0	0	0	0	0	3.177680672	0	0	0.212326812	0	3.096485543	0.674607718	0	0.968877372	0	0	0	0.858074557	0	0	0	0	0	0	0	94.39745675	0	8.571003681	0	0	0	3.997733878	39.89528298	0	14.81737434	0	6.706898959	2.059412853	2.32768505	6.362983345	0	7.030012044	1.594239641	12.16831096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.738757808	1.623969704	0.145487196	9.715448713	4.353300616	0	0	37.86779186	98.4729898	0	2.991430511	7.056163068	0	0	0	0	567.1649371	194.9267569	33.0733464
nirA-PRO-HLII	0	0	0	25.24449258	0	3.990149972	169.0355751	0	6681.488631	436.4543058	0.954278983	39.71091837	314.2330322	1029.586364	88.08730727	49.50049504	340.4099375	0	0	0	0	0	0	0	0	69.37936133	39.42144874	186.0081211	270.9997881	56.72798134	231.1593773	205.5304848	413.0154945	68.71576441	0	0	148.7789675	86.1649868	0	0	0	0	772.6321291	0	0	7156.689659	0	8.571003681	7.346984399	0	40.09651181	1180.830644	1225.479018	0	2118.884531	31.83560094	3476.409294	1674.302649	213.1494453	327.3401432	24.92622734	562.4009635	202.2691544	431.975039	274.4797393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2876.42599	2107.750279	184.9142263	11728.80197	6342.323668	7896.965825	633.40631	1695.936107	2264.878765	3210.432644	1294.691125	991.3909111	0	0	0	29.72590553	22501.6211	22968.29956	1291.718563
nirA-PRO-HLVI	0	0	0	2.454325668	4.251862569	0.798029994	2.541888347	0	114.4866361	13.25937132	0	5.415125233	15.87035516	19.80276017	2.716348682	3.228293155	17.02049687	0	0	0	0	0	0	0	0	3.001142857	0.417263318	11.52851287	6.015926349	1.201500361	6.05834128	15.51597752	7.409298979	2.459457945	0	0	3.099561822	3.932841721	0	0	0	0	18.99915072	0	0	90.50477812	12.76900319	0	6.122486999	0	21.7915825	19.82209714	49.00181496	0	55.03596185	0	73.52748488	33.86590025	4.987896536	13.78646392	8.973441841	11.82320207	8.07083818	25.85766078	37.42905536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.81909236	40.43684563	7.710821395	164.4686675	124.0690676	182.8458921	63.340631	57.70330188	98.4729898	60.60626198	22.33601448	17.44440314	0	0	0	13.71964871	694.5611222	580.2205805	46.26552389
nirA-PRO-LLI	1639.401008	285.8233463	19.06426917	10.51853858	729.1944305	7962.743285	969.4126685	4597.312983	6.068196262	1084.506079	798.7315084	481.0436248	698.2956271	307.8857713	213.6214214	177.1974243	187.2254656	0	2185.821595	0	0	0	0	0	0	1292.78642	0	4931.543083	891.9849385	478.2400545	228.8706706	2400.254261	145.0105657	153.9769732	0	0	40.29430369	370.0446528	247.7261488	0	0	0	82.3296531	468.9915817	261.184303	218.9631729	51.07601276	72.85353129	75.91883879	0	223.1458048	0	155.6783325	26.18580212	0	20.16254726	90.66733778	232.2560051	231.4383993	505.5036769	118.1503176	491.7812971	248.8010239	442.6223111	93.5726384	0	40.65635633	0	0	0	0	0	0	0	0	0	0	0	0	17.81119314	14.12853642	57.32195527	85.53064671	0	48.42945249	475.0547325	1436.271248	395.6504054	37.38330178	0	46.257069	0	0	0	169.2090007	0	0	0
nirA-PRO-LLIIxIII	1.558365977	0	0	0	65.90386982	68.63057952	4.448304608	228.1544905	22.65459938	83.97601833	10.49706881	1.805041744	38.08885239	73.55310921	3.783485665	0	102.1229812	0	0	0	0	0	0	0	0	0.70615126	0.576220773	449.3902998	14.65055005	0	1.346298062	60.26495615	26.25008781	4.024567547	0	0	24.79649458	0.786568344	0	0	0	0	0	0	20.89474424	0	8.512668793	53.56877301	111.8374292	44.10989337	81.93635021	0	31.65603975	23.21014279	0	32.89678764	34.52810946	38.90002055	34.58274932	48.78287232	23.92917824	20.45094413	23.81395463	31.18129683	99.8108143	0	203.2817816	0	0	0	0	0	0	0	0	0	0	0	0	2.124270742	3.247939408	23.56892577	11.45035027	3.047310431	0	443.384417	38.76940595	0	0	0	2.156049826	0	0	0	240.0938524	0	0	0
nirA-PRO-LLIV	31.4270472	3038.753471	51.74587345	29.45190801	73.34462931	61.44830957	0	730.0943695	77.67291215	77.89880648	188.4700991	43.32100186	149.1813385	336.6469229	21.73078946	71.73984788	1174.414284	0	0	0	0	0	0	0	0	93.91811763	2.424101182	84.468527	28.02713922	12.87321816	16.82872578	104.3393271	23.28636822	9.614244696	0	0	629.2110499	1.859161541	0	0	29.22419643	0	854.9617822	60.5150428	62.68423271	0	44.69151116	81.42453497	288.9813864	81.1052878	173.4609967	18.1563747	120.9867821	27.97119772	4.233535527	16.97898717	327.3960307	272.5289675	387.0607712	488.1822222	255.2445679	113.7583767	449.2766587	254.7740107	1559.543973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.40611286	0.649587882	63.8688791	64.36484773	0	0	316.703155	112.7017615	0	0	2.393144409	18.62043032	0	0	0	750.0074627	0	0	0
nirA-SYN	217.9115091	15284.02736	935.0570115	693.5223101	1697.556131	554.6308462	0	2737.853886	4420.88325	73.47901604	4883.522693	1198.547718	182.5090844	27960.39721	956.10623	863.3890693	22535.13786	3798.606302	8378.982781	0	0	0	309.9767314	0	0	262.1586554	123.9470752	335.6570863	50.0383521	90.54163436	628.9904546	326.7350048	405.6061955	315.1087331	0	0	18116.93885	17.23299736	13223.85776	0	300.4612695	2176.53751	8947.016724	5983.424857	3419.77314	0	4115.875361	34594.71361	35064.70754	2346.361747	4787.174844	299.4968964	9406.613895	1641.373688	302.6977902	2568.071809	23006.40226	15195.0345	45941.85236	49740.85481	41301.26312	11639.46312	24042.9273	13421.64699	46443.21953	0	18322.46459	0	0	0	0	0	0	423.4413756	0	0	340.445713	0	5481.474654	2385.065827	361.1708622	29352.76925	4684.928162	1120.321914	5414.215117	25779.63682	6071.469295	2045.072985	323.9886155	414.8116975	2399.683457	0	0	0	30025.4512	71.97524582	15.95891577	49.6100196
