## Layer	Depth.nominal-3	Layer	polar	upper.size.fraction	Depth.nominal-1	Depth.nominal-2	Ocean.region	TemperatureInterval5	TemperatureInterval5x	TemperatureInterval5x2	TemperatureInterval10	TemperatureInterval10x	TemperatureInterval10x2	ChlorophyllA-RANGE1	ChlorophyllA-RANGE2	PO4-CAT1	PO4-CAT2	Ammonium.5m-range1	Ammonium.5m-range2	NO2-RANGE1	NO2-RANGE1	NO2NO3-RANGE1XX	NO2NO3-RANGE1	NO2NO3-RANGE2	Iron.5m-CAT1	Iron.5m-CAT2
DCM-110	D2   20 to 50m	DCM	non polar	3 um	30 to 50m	D3 30 to 50m	S-Pacific	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.2 to 0.3	0.25 to 0.30	0.500-1.000	0.100-1.000	0.0320 to 0.0420	0.0320 to 0.0420	0.3100 to 0.4600	0.2300 to 0.4600	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	< 0.0001	0.00005-0.00010
DCM-100-1	D2   20 to 50m	DCM	non polar	3 um	30 to 50m	D3 30 to 50m	S-Pacific	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.2 to 0.3	0.20 to 0.25	0.500-1.000	0.100-1.000	0.0160 to 0.0200	0.0160 to 0.0300	0.1300 to 0.2000	0.1100 to 0.2000	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	< 0.0001	0.00002-0.00005
DCM-109	D2   20 to 50m	DCM	non polar	3 um	30 to 50m	D3 30 to 50m	N-Pacific	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.3to 0.5	0.3 to 0.5	0.100-0.500	0.100-1.000	0.0320 to 0.0420	0.0320 to 0.0420	0.0900 to 0.1200	0.1100 to 0.2000	2.0000 to 5.0000	2.0000 to 5.0000	1.0000 to 10.0000	< 0.0001	0.00002-0.00005
DCM-128	D2   20 to 50m	DCM	non polar	3 um	30 to 50m	D3 30 to 50m	S-Pacific	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.2 to 0.3	0.25 to 0.30	0.500-1.000	0.100-1.000	0.0320 to 0.0420	0.0320 to 0.0420	0.2300 to 0.3000	0.2300 to 0.4600	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	< 0.0001	0.00002-0.00005
SRF-82	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Atlantic	5 to 10 C	T3	T3  5 to 10 C	0 to 10 C	T2  0 to 10 C	T2	0.3to 0.5	0.3 to 0.5	1.000-2.500	1.000-2.500	0.0960 to 0.1200	0.0960 to 0.1200	0.1300 to 0.2000	0.1100 to 0.2000	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	0.0001 - 0.0005	0.00010-0.00050
SRF-145	D1   5m	SRF	non polar	3 um	5m	D1 5m 	N-Atlantic	10 to 15 C	T4	T4  10 to 15 C	10 to 20 C	T3  10 to 20 C	T3	0.1 to 0.2	0.15 to 0.20	0.100-0.500	0.100-1.000	0.0130 to 0.0150	0.0090 to 0.0150	0.0900 to 0.1200	0.0600 to 0.1000	2.0000 to 5.0000	2.0000 to 5.0000	1.0000 to 10.0000	0.0005 - 0.0010	0.00050-0.00100
SRF-152	D1   5m	SRF	non polar	3 um	5m	D1 5m 	N-Atlantic	10 to 15 C	T4	T4  10 to 15 C	10 to 20 C	T3  10 to 20 C	T3	0.1 to 0.2	0.15 to 0.20	0.100-0.500	0.100-1.000	0.0210 to 0.0300	0.0160 to 0.0300	0.3100 to 0.4600	0.2300 to 0.4600	2.0000 to 5.0000	2.0000 to 5.0000	1.0000 to 10.0000	0.0005 - 0.0010	0.00050-0.00100
SRF-110	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Pacific	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.2 to 0.3	0.20 to 0.25	0.500-1.000	0.100-1.000	0.0320 to 0.0420	0.0320 to 0.0420	0.3100 to 0.4600	0.2300 to 0.4600	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	< 0.0001	0.00005-0.00010
SRF-111	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Pacific	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.1 to 0.2	0.1 to 0.15	0.100-0.500	0.100-1.000	0.0130 to 0.0150	0.0090 to 0.0150	0.0400 to 0.0500	0.0250 to 0.0500	2.0000 to 5.0000	2.0000 to 5.0000	1.0000 to 10.0000	< 0.0001	0.00002-0.00005
SRF-100	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Pacific	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.2 to 0.3	0.20 to 0.25	0.500-1.000	0.100-1.000	0.0160 to 0.0200	0.0160 to 0.0300	0.1300 to 0.2000	0.1100 to 0.2000	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	< 0.0001	0.00002-0.00005
SRF-122	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Pacific	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.1 to 0.2	0.15 to 0.20	0.500-1.000	0.100-1.000	0.0210 to 0.0300	0.0160 to 0.0300	0.0900 to 0.1200	0.1100 to 0.2000	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	< 0.0001	0.00002-0.00005
SRF-123	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Pacific	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.1 to 0.2	0.15 to 0.20	0.500-1.000	0.100-1.000	0.0210 to 0.0300	0.0160 to 0.0300	0.1300 to 0.2000	0.1100 to 0.2000	2.0000 to 5.0000	2.0000 to 5.0000	1.0000 to 10.0000	< 0.0001	0.00002-0.00005
SRF-124	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Pacific	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.2 to 0.3	0.25 to 0.30	0.500-1.000	0.100-1.000	0.0210 to 0.0300	0.0160 to 0.0300	0.1300 to 0.2000	0.1100 to 0.2000	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	< 0.0001	0.00002-0.00005
SRF-125	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Pacific	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.1 to 0.2	0.15 to 0.20	0.500-1.000	0.100-1.000	0.0160 to 0.0200	0.0160 to 0.0300	0.1300 to 0.2000	0.1100 to 0.2000	2.0000 to 5.0000	2.0000 to 5.0000	1.0000 to 10.0000	< 0.0001	0.00002-0.00005
SRF-128	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Pacific	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.2 to 0.3	0.20 to 0.25	0.500-1.000	0.100-1.000	0.0320 to 0.0420	0.0320 to 0.0420	0.2300 to 0.3000	0.2300 to 0.4600	2.0000 to 5.0000	2.0000 to 5.0000	1.0000 to 10.0000	< 0.0001	0.00002-0.00005
SRF-137	D1   5m	SRF	non polar	3 um	5m	D1 5m 	N-Pacific	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.2 to 0.3	0.20 to 0.25	0.100-0.500	0.100-1.000	0.0160 to 0.0200	0.0160 to 0.0300	0.0600 to 0.0800	0.0600 to 0.1000	2.0000 to 5.0000	2.0000 to 5.0000	1.0000 to 10.0000	< 0.0001	0.00002-0.00005
DCM-111	D3   50 to 100m	DCM	non polar	3 um	60 to 90m	D4 60 to 90m	S-Pacific	15 to 20 C	T5	T5  15 to 20 C	10 to 20 C	T3  10 to 20 C	T3	0.1 to 0.2	0.15 to 0.20	0.100-0.500	0.100-1.000	0.0130 to 0.0150	0.0090 to 0.0150	0.1300 to 0.2000	0.1100 to 0.2000	1.2000 to 2.0000	1.2000 to 2.0000	1.0000 to 10.0000	< 0.0001	0.00002-0.00005
DCM-41	D3   50 to 100m	DCM	non polar	1.6 um	60 to 90m	D4 60 to 90m	ArcticOcean	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.1 to 0.2	0.15 to 0.20	0.500-1.000	0.100-1.000	0.0160 to 0.0200	0.0160 to 0.0300	0.2300 to 0.3000	0.2300 to 0.4600	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	> 0.0010	0.00100-0.00140
DCM-188	D1   5m	DCM	polar	3 um	10 to 25m	D2 10 to 25m	ArcticOcean	Below 0 C	T1	T1   <0 C	Below 0 C	T1 <0 C	T1	1.0 to 2.7 	1.0 to 2.0	0.100-0.500	0.100-1.000	0.0020 to 0.0040	0.0020 to 0.0080	0.0900 to 0.1200	0.1100 to 0.2000	1.2000 to 2.0000	1.2000 to 2.0000	1.0000 to 10.0000	> 0.0010	0.00100-0.00140
MIX-175	D5   100 to 200	MIX	polar	3 um	155  to 190m	D6 155 to 190m	ArcticOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	0.01 to 0.1	0.01 to 0.1	0.500-1.000	0.100-1.000	0.0002 to 0.0010	0.0002 to 0.0010	0.0170 to 0.0200	0.0110 to 0.0200	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	> 0.0010	0.00100-0.00140
DCM-180	D2   20 to 50m	DCM	polar	3 um	30 to 50m	D3 30 to 50m	ArcticOcean	Below 0 C	T1	T1   <0 C	Below 0 C	T1 <0 C	T1	0.3to 0.5	0.3 to 0.5	0.100-0.500	0.100-1.000	0.0020 to 0.0040	0.0020 to 0.0080	0.0600 to 0.0800	0.0600 to 0.1000	1.2000 to 2.0000	1.2000 to 2.0000	1.0000 to 10.0000	> 0.0010	0.00100-0.00140
DCM-173	D2   20 to 50m	DCM	polar	3 um	30 to 50m	D3 30 to 50m	ArcticOcean	Below 0 C	T1	T1   <0 C	Below 0 C	T1 <0 C	T1	1.0 to 2.7 	1.0 to 2.0	0.100-0.500	0.100-1.000	0.0020 to 0.0040	0.0020 to 0.0080	0.0250 to 0.0350	0.0250 to 0.0500	1.2000 to 2.0000	1.2000 to 2.0000	1.0000 to 10.0000	> 0.0010	0.00100-0.00140
DCM-194	D2   20 to 50m	DCM	polar	3 um	30 to 50m	D3 30 to 50m	ArcticOcean	Below 0 C	T1	T1   <0 C	Below 0 C	T1 <0 C	T1	0.5 to 1.0 	0.5 to 0.75	0.500-1.000	0.100-1.000	0.0020 to 0.0040	0.0020 to 0.0080	0.3100 to 0.4600	0.2300 to 0.4600	1.2000 to 2.0000	1.2000 to 2.0000	1.0000 to 10.0000	0.0005 - 0.0010	0.00050-0.00100
DCM-201	D2   20 to 50m	DCM	polar	3 um	30 to 50m	D3 30 to 50m	ArcticOcean	Below 0 C	T1	T1   <0 C	Below 0 C	T1 <0 C	T1	0.5 to 1.0 	0.75 to 1.0	0.500-1.000	0.100-1.000	0.0002 to 0.0010	0.0002 to 0.0010	0.0250 to 0.0350	0.0250 to 0.0500	2.0000 to 5.0000	2.0000 to 5.0000	1.0000 to 10.0000	0.0005 - 0.0010	0.00050-0.00100
DCM-155	D2   20 to 50m	DCM	polar	3 um	30 to 50m	D3 30 to 50m	N-Atlantic	5 to 10 C	T3	T3  5 to 10 C	0 to 10 C	T2  0 to 10 C	T2	0.5 to 1.0 	0.75 to 1.0	0.500-1.000	0.100-1.000	0.0060 to 0.0080	0.0020 to 0.0080	0.0600 to 0.0800	0.0600 to 0.1000	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	0.0001 - 0.0005	0.00010-0.00050
SRF-201	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	Below 0 C	T1	T1   <0 C	Below 0 C	T1 <0 C	T1	0.5 to 1.0 	0.75 to 1.0	0.500-1.000	0.100-1.000	0.0002 to 0.0010	0.0002 to 0.0010	0.0600 to 0.0800	0.0600 to 0.1000	1.2000 to 2.0000	1.2000 to 2.0000	1.0000 to 10.0000	0.0005 - 0.0010	0.00050-0.00100
SRF-163	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	1.0 to 2.7 	2.7x	0.100-0.500	0.100-1.000	0.0130 to 0.0150	0.0090 to 0.0150	0.0900 to 0.1200	0.0600 to 0.1000	2.0000 to 5.0000	2.0000 to 5.0000	1.0000 to 10.0000	0.0005 - 0.0010	0.00050-0.00100
SRF-193	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	0.5 to 1.0 	0.5 to 0.75	1.000-2.500	1.000-2.500	0.0060 to 0.0080	0.0020 to 0.0080	0.0900 to 0.1200	0.1100 to 0.2000	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	0.0005 - 0.0010	0.00050-0.00100
SRF-206	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	0.5 to 1.0 	0.75 to 1.0	0.100-0.500	0.100-1.000	0.0210 to 0.0300	0.0160 to 0.0300	0.0900 to 0.1200	0.1100 to 0.2000	1.2000 to 2.0000	1.2000 to 2.0000	1.0000 to 10.0000	0.0001 - 0.0005	0.00010-0.00050
SRF-208	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	0.3to 0.5	0.3 to 0.5	0.100-0.500	0.100-1.000	0.0160 to 0.0200	0.0160 to 0.0300	0.1300 to 0.2000	0.1100 to 0.2000	1.2000 to 2.0000	1.2000 to 2.0000	1.0000 to 10.0000	0.0001 - 0.0005	0.00010-0.00050
SRF-210	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	0.5 to 1.0 	0.5 to 0.75	0.500-1.000	0.100-1.000	0.0320 to 0.0420	0.0020 to 0.0040	0.3100 to 0.4600	0.2300 to 0.4600	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	0.0001 - 0.0005	0.00010-0.00050
SRF-158	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	5 to 10 C	T3	T3  5 to 10 C	0 to 10 C	T2  0 to 10 C	T2	1.0 to 2.7 	1.0 to 2.0	0.100-0.500	0.100-1.000	0.0210 to 0.0300	0.0160 to 0.0300	0.1300 to 0.2000	0.1100 to 0.2000	5.1000 to 10.0000	5.1000 to 10.0000	1.0000 to 10.0000	0.0005 - 0.0010	0.00050-0.00100
DCM-100-2	D5   100 to 200	DCM	non polar	3 um	155  to 190m	D6 155 to 190m	S-Pacific	10 to 15 C	T4	T4  10 to 15 C	10 to 20 C	T3  10 to 20 C	T3	0.01 to 0.1	0.01 to 0.1	1.000-2.500	1.000-2.500	0.0160 to 0.0200	0.0160 to 0.0300	0.1300 to 0.2000	0.1100 to 0.2000	20 to 30.0000	20 to 30.0000	11.0000 to 28.6000	< 0.0001	0.00002-0.00005
DCM-82	D2   20 to 50m	DCM	non polar	3 um	30 to 50m	D3 30 to 50m	S-Atlantic	5 to 10 C	T3	T3  5 to 10 C	0 to 10 C	T2  0 to 10 C	T2	0.3to 0.5	0.3 to 0.5	1.000-2.500	1.000-2.500	0.0960 to 0.1200	0.0960 to 0.1200	0.0900 to 0.1200	0.1100 to 0.2000	11.000 to 18.0000	11.000 to 18.0000	11.0000 to 28.6000	0.0001 - 0.0005	0.00010-0.00050
DCM-102	D2   20 to 50m	DCM	non polar	3 um	30 to 50m	D3 30 to 50m	S-Pacific	15 to 20 C	T5	T5  15 to 20 C	10 to 20 C	T3  10 to 20 C	T3	0.3to 0.5	0.3 to 0.5	1.000-2.500	1.000-2.500	0.0320 to 0.0420	0.0320 to 0.0420	1.2x	1.2x	20 to 30.0000	20 to 30.0000	11.0000 to 28.6000	< 0.0001	0.00002-0.00005
DCM-138	D3   50 to 100m	DCM	non polar	3 um	60 to 90m	D4 60 to 90m	N-Pacific	15 to 20 C	T5	T5  15 to 20 C	10 to 20 C	T3  10 to 20 C	T3	0.2 to 0.3	0.20 to 0.25	1.000-2.500	1.000-2.500	0.0130 to 0.0150	0.0090 to 0.0150	0.3100 to 0.4600	0.2300 to 0.4600	11.000 to 18.0000	11.000 to 18.0000	11.0000 to 28.6000	< 0.0001	0.00002-0.00005
DCM-158	D2   20 to 50m	DCM	polar	3 um	10 to 25m	D2 10 to 25m	ArcticOcean	5 to 10 C	T3	T3  5 to 10 C	0 to 10 C	T2  0 to 10 C	T2	0.5 to 1.0 	0.5 to 0.75	0.500-1.000	0.100-1.000	0.0210 to 0.0300	0.0160 to 0.0300	0.2300 to 0.3000	0.2300 to 0.4600	11.000 to 18.0000	11.000 to 18.0000	11.0000 to 28.6000	0.0005 - 0.0010	0.00050-0.00100
SRF-84	D1   5m	SRF	polar	3 um	5m	D1 5m 	SouthernOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	0.1 to 0.2	0.15 to 0.20	1.000-2.500	1.000-2.500	0.0960 to 0.1200	0.0960 to 0.1200	0.2300 to 0.3000	0.2300 to 0.4600	20 to 30.0000	20 to 30.0000	11.0000 to 28.6000	< 0.0001	0.00005-0.00010
SRF-85	D1   5m	SRF	polar	3 um	5m	D1 5m 	SouthernOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	0.2 to 0.3	0.25 to 0.30	1.000-2.500	1.000-2.500	0.0060 to 0.0080	0.0020 to 0.0080	0.0900 to 0.1200	0.0600 to 0.1000	20 to 30.0000	20 to 30.0000	11.0000 to 28.6000	0.0001 - 0.0005	0.00010-0.00050
DCM-85	D3   50 to 100m	DCM	polar	3 um	60 to 90m	D4 60 to 90m	SouthernOcean	Below 0 C	T1	T1   <0 C	Below 0 C	T1 <0 C	T1	0.2 to 0.3	0.25 to 0.30	1.000-2.500	1.000-2.500	0.0060 to 0.0080	0.0020 to 0.0080	0.0600 to 0.0800	0.0600 to 0.1000	~31	~31	~31	0.0001 - 0.0005	0.00010-0.00050
DCM-98	D5   100 to 200	DCM	non polar	3 um	155  to 190m	D6 155 to 190m	S-Pacific	15 to 20 C	T5	T5  15 to 20 C	10 to 20 C	T3  10 to 20 C	T3	0.1 to 0.2	0.1 to 0.15	NA	NA	0.0060 to 0.0080	0.0020 to 0.0080	NA	NA	NA	NA	NA	0.0001 - 0.0005	0.00010-0.00050
SRF-67	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Atlantic	10 to 15 C	T4	T4  10 to 15 C	10 to 20 C	T3  10 to 20 C	T3	0.5 to 1.0 	0.75 to 1.0	NA	NA	0.0320 to 0.0420	0.0320 to 0.0420	NA	NA	NA	NA	NA	0.0001 - 0.0005	0.00010-0.00050
SRF-149	D1   5m	SRF	non polar	3 um	5m	D1 5m 	N-Atlantic	15 to 20 C	T5	T5  15 to 20 C	10 to 20 C	T3  10 to 20 C	T3	0.1 to 0.2	0.1 to 0.15	NA	NA	0.0090 to 0.0120	0.0090 to 0.0150	NA	NA	NA	NA	NA	0.0005 - 0.0010	0.00050-0.00100
SRF-151	D1   5m	SRF	non polar	3 um	5m	D1 5m 	N-Atlantic	15 to 20 C	T5	T5  15 to 20 C	10 to 20 C	T3  10 to 20 C	T3	0.1 to 0.2	0.1 to 0.15	0.010-0.050	0.010-0.100	0.0210 to 0.0300	0.0160 to 0.0300	0.0170 to 0.0200	0.0110 to 0.0200	NA	NA	NA	> 0.0010	0.00100-0.00140
SRF-96	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Pacific	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.01 to 0.1	0.01 to 0.1	0.100-0.500	0.100-1.000	0.0090 to 0.0120	0.0090 to 0.0150	0	0	NA	NA	NA	0.0001 - 0.0005	0.00010-0.00050
DCM-189	D2   20 to 50m	DCM	polar	3 um	10 to 25m	D2 10 to 25m	ArcticOcean	Below 0 C	T1	T1   <0 C	Below 0 C	T1 <0 C	T1	0.5 to 1.0 	0.75 to 1.0	NA	NA	0.0002 to 0.0010	0.0002 to 0.0010	NA	NA	NA	NA	NA	> 0.0010	0.00100-0.00140
SRF-189	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	0.5 to 1.0 	0.75 to 1.0	NA	NA	0.0002 to 0.0010	0.0002 to 0.0010	NA	NA	NA	NA	NA	> 0.0010	0.00100-0.00140
SRF-209	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	0 to 5 C	T2	T2  0 to 5 C	0 to 10 C	T2  0 to 10 C	T2	0.5 to 1.0 	0.75 to 1.0	NA	NA	0.0210 to 0.0300	0.0160 to 0.0300	NA	NA	NA	NA	NA	0.0001 - 0.0005	0.00010-0.00050
