## Layer	Depth.nominal-3	Layer	polar	upper.size.fraction	Depth.nominal-1	Depth.nominal-2	Ocean.region	TemperatureInterval5	TemperatureInterval5x	TemperatureInterval5x2	TemperatureInterval10	TemperatureInterval10x	TemperatureInterval10x2	ChlorophyllA-RANGE1	ChlorophyllA-RANGE2	PO4-CAT1	PO4-CAT2	Ammonium.5m-range1	Ammonium.5m-range2	NO2-RANGE1	NO2-RANGE1	NO2NO3-RANGE1XX	NO2NO3-RANGE1	NO2NO3-RANGE2	Iron.5m-CAT1	Iron.5m-CAT2
DCM-142	D5   100 to 200	DCM	non polar	3 um	100 to 150m	D5 100 to 150m	N-Atlantic	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.1 to 0.2	0.1 to 0.15	NA	NA	0.0090 to 0.0120	0.0090 to 0.0150	0.0170 to 0.0200	0.0110 to 0.0200	0.0400 to 0.0600	0.0400 to 0.0600	0.0100 to 0.1000	> 0.0010	0.00100-0.00140
DCM-112	D5   100 to 200	DCM	non polar	3 um	100 to 150m	D5 100 to 150m	S-Pacific	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.1 to 0.2	0.1 to 0.15	0.100-0.500	0.100-1.000	0.0060 to 0.0080	0.0020 to 0.0080	0.0110 to 0.0150	0.0110 to 0.0200	0.0400 to 0.0600	0.0400 to 0.0600	0.0100 to 0.1000	0.0001 - 0.0005	0.00010-0.00050
SRF-133	D1   5m	SRF	non polar	3 um	5m	D1 5m 	N-Pacific	15 to 20 C	T5	T5  15 to 20 C	10 to 20 C	T3  10 to 20 C	T3	0.1 to 0.2	0.1 to 0.15	0.100-0.500	0.100-1.000	0.0160 to 0.0200	0.0160 to 0.0300	0.0010 to 0.0020	0.0010 to 0.0100	0.0110 to 0.0360	0.0110 to 0.0360	0.0100 to 0.1000	0.0001 - 0.0005	0.00010-0.00050
SRF-25	D1   5m	SRF	non polar	1.6 um	5m	D1 5m 	MediterraneanSea	15 to 20 C	T5	T5  15 to 20 C	10 to 20 C	T3  10 to 20 C	T3	0.01 to 0.1	0.01 to 0.1	0.001-0.010	0.001-0.010	0.0020 to 0.0040	0.0020 to 0.0080	0.0030 to 0.0060	0.0010 to 0.0100	0.0110 to 0.0360	0.0110 to 0.0360	0.0100 to 0.1000	> 0.0010	0.00100-0.00140
SRF-78	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Atlantic	15 to 20 C	T5	T5  15 to 20 C	10 to 20 C	T3  10 to 20 C	T3	0.01 to 0.1	0.01 to 0.1	0	0	0.0160 to 0.0200	0.0160 to 0.0300	0	0	0.0110 to 0.0360	0.0110 to 0.0360	0.0100 to 0.1000	0.0005 - 0.0010	0.00050-0.00100
SRF-112	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Pacific	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.01 to 0.1	0.01 to 0.1	0.100-0.500	0.100-1.000	0.0060 to 0.0080	0.0020 to 0.0080	0.0070 to 0.0100	0.0010 to 0.0100	0.0110 to 0.0360	0.0110 to 0.0360	0.0100 to 0.1000	0.0001 - 0.0005	0.00010-0.00050
SRF-142	D1   5m	SRF	non polar	3 um	5m	D1 5m 	N-Atlantic	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.1 to 0.2	0.1 to 0.15	0.001-0.010	0.001-0.010	0.0090 to 0.0120	0.0090 to 0.0150	0.0170 to 0.0200	0.0110 to 0.0200	0.0400 to 0.0600	0.0400 to 0.0600	0.0100 to 0.1000	> 0.0010	0.00100-0.00140
SRF-31	D1   5m	SRF	non polar	1.6 um	5m	D1 5m 	RedSea	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.1 to 0.2	0.1 to 0.15	0.010-0.050	0.010-0.100	0.0090 to 0.0120	0.0090 to 0.0150	0.0070 to 0.0100	0.0010 to 0.0100	0.0110 to 0.0360	0.0110 to 0.0360	0.0100 to 0.1000	> 0.0010	0.00100-0.00140
SRF-72	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Atlantic	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.01 to 0.1	0.01 to 0.1	0.050-0.100	0.010-0.100	0.0090 to 0.0120	0.0090 to 0.0150	0.0030 to 0.0060	0.0010 to 0.0100	0.0110 to 0.0360	0.0110 to 0.0360	0.0100 to 0.1000	> 0.0010	0.00100-0.00140
SRF-98	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Pacific	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.01 to 0.1	0.01 to 0.1	0.100-0.500	0.100-1.000	0.0060 to 0.0080	0.0020 to 0.0080	0	0	0.0400 to 0.0600	0.0400 to 0.0600	0.0100 to 0.1000	0.0001 - 0.0005	0.00010-0.00050
