##SAMPLES	DCM-25	DCM-39	DCM-41	DCM-42	DCM-52	DCM-66	DCM-100-1	DCM-100-2	DCM-102	DCM-109	DCM-110	DCM-111	DCM-112	DCM-122	DCM-128	DCM-132	DCM-133	DCM-137	DCM-138	DCM-142	DCM-150	DCM-151	DCM-155	DCM-158	DCM-168	DCM-173	DCM-173-MIX	DCM-180	DCM-188	DCM-189	DCM-194	DCM-201	DCM-68	DCM-72	DCM-76	DCM-78	DCM-82	DCM-85	DCM-93	DCM-98	MIX-168	MIX-175	SRF-205	SRF-18	SRF-25	SRF-31	SRF-32	SRF-33	SRF-41	SRF-42	SRF-52	SRF-84	SRF-85	SRF-100	SRF-101	SRF-109	SRF-110	SRF-111	SRF-112	SRF-122	SRF-123	SRF-124	SRF-125	SRF-128	SRF-132	SRF-133	SRF-137	SRF-138	SRF-140	SRF-141	SRF-142	SRF-145	SRF-148	SRF-149	SRF-150	SRF-151	SRF-152	SRF-158	SRF-163	SRF-168	SRF-173	SRF-175	SRF-178	SRF-180	SRF-188	SRF-189	SRF-191	SRF-193	SRF-194	SRF-196	SRF-201	SRF-206	SRF-208	SRF-209	SRF-210	SRF-67	SRF-68	SRF-70	SRF-72	SRF-76	SRF-78	SRF-82	SRF-93	SRF-96	SRF-98	SRF-99
livF-PRO-HLI	31890.47687	2115.111307	1783.254141	1486.245324	4278.874267	52654.75892	1607.277806	908.6596252	814.0171532	15256.44032	1639.275141	767.6352221	3468.014398	1421.119754	12282.14714	958.6816381	13935.58837	907.7753758	1012.53878	2274.927979	79063.70995	81980.75245	7644.629947	45780.32294	6433.750276	5459.28288	9945.676826	5340.31053	13885.27252	23873.47042	11050.46974	10549.15301	57468.62528	1199.439261	4676.902232	9806.743	2139.463571	720.6198272	5618.813282	11618.35743	9836.879332	11700.84592	45793.85367	131833.1045	32503.81897	2480.237614	2564.47616	2404.07686	2518.014069	2311.225282	20241.49239	857.9847208	2878.950118	6247.363531	8791.019067	9700.350398	3747.738725	12989.66131	8341.535824	11941.72904	2105.010142	5334.031104	6160.638807	14056.78593	4198.854643	117432.8807	14561.70301	3836.086683	2685.838445	1594.566411	2148.176876	2302.867899	2440.515639	11103.27111	96801.73238	125320.2467	74658.17656	6874.60526	386.4334731	6054.415229	8666.61946	3891.641079	11949.93635	45761.71017	10878.56972	31700.69898	29378.12407	24290.38181	49465.38828	37391.08342	19768.65323	51418.1751	23771.41422	13349.86271	6716.933162	2088.011536	67304.65907	15679.77307	3617.488708	4961.784692	32534.99799	1255.92303	15000.19323	60124.51403	4752.153142	23916.91437
livF-PRO-HLII	4117.235704	82138.60928	52161.41175	54680.60793	41156.32553	8990.167119	3057.102303	2552.900852	1879.439904	23186.41483	3844.450765	2570.465479	31958.7364	2124.541587	17464.14263	1980.104221	3692.206772	2332.043638	1698.533803	128051.11	29301.38196	11490.45362	7198.52422	33476.86115	13412.73363	14068.15204	16141.34436	19492.13343	14328.41951	21895.78648	20463.83285	26121.71222	7113.115545	19707.80005	82067.14521	67605.03915	9067.250371	7206.198272	4202.248776	40461.24289	15264.1231	6240.451159	48840.00802	12237.39379	5904.195194	145321.4921	157799.2301	76928.00723	157044.3265	153337.6214	42289.27014	3186.800392	11123.21636	7640.626628	15312.93899	63006.25443	6839.764491	15384.02276	135684.0698	14151.68634	8038.029967	10807.07559	9926.149765	21669.48212	143572.561	13375.86086	52465.07953	159007.6469	102700.2705	28520.65816	121080.0669	6700.365642	62018.23342	31096.47592	24544.19377	17633.47338	9592.143942	22915.35087	1545.733893	10008.31905	14444.36577	15452.10428	14148.72463	42201.00073	21871.6507	25820.73062	27554.6543	33218.73837	27460.56482	40885.5772	14315.23165	42873.03425	29981.96388	19729.44312	8866.351774	4280.423649	7823.20736	14515.36091	147396.1048	139049.5631	130215.126	15788.74666	7826.800917	64568.10411	115999.2486	140096.8809
livF-PRO-HLVI	346.2783846	205.9974445	85.96955224	76.11498961	225.1779756	176.0123081	199.2550726	276.9248382	76.88617789	326.6301558	123.5298986	188.0150037	222.8074449	158.3348037	215.6066992	160.616819	191.8518038	198.2497947	144.2867761	198.8020479	427.9602448	428.7482695	405.5506603	4578.032294	1635.699223	1889.751766	2119.570471	2136.124212	1920.303646	2825.262772	2557.979107	2260.532788	342.6268409	146.8101911	232.5531497	211.0377744	916.9129589	180.1549568	291.446286	269.2656142	1469.878521	780.0563948	5076.92391	568.9893339	530.7626595	144.0194625	165.6978606	203.5413595	128.0787875	113.6101335	418.0673447	367.7077375	1308.61369	143.3204872	185.6113817	240.6511989	121.5330054	248.4525686	162.4915067	203.6719126	181.7843552	213.8667474	231.2369366	265.9731545	88.71738448	503.9426014	355.9605209	149.3811595	219.2179665	258.1433713	215.4216736	85.74508134	242.3207018	237.7965806	495.9617962	567.2532798	378.2501627	2027.127192	154.5733893	1112.03545	1733.323892	2060.280571	1911.989815	5538.881346	2862.781505	3067.809579	3646.93954	2625.987223	3728.089925	5008.774415	1874.613669	5009.220497	2355.725733	1890.246048	752.2965142	41.76023072	350.9166422	255.5005095	136.9822391	203.5603976	304.4392937	538.252727	171.5785186	249.8248505	93.05175527	218.408643
livF-PRO-LLI	87922.32051	2926.08266	12411.54707	8590.978696	56619.69622	31235.41497	85497.14686	5521.188961	29894.07821	4514.418114	33348.06466	87949.30242	79085.26397	70750.99854	8698.615105	71635.9378	69495.49456	6865.703417	49581.49269	2286.22355	21960.47428	31964.20432	8841.004394	60658.9279	25189.76803	27296.4144	34076.17142	40052.32897	28509.12336	42943.99413	38676.64409	57769.17126	37546.128	69024.27945	29601.43203	55130.36181	11410.47238	3422.944179	5313.811355	72456.65386	28266.89463	12740.92112	87221.55278	15745.78652	22159.34104	2009.832581	1292.297001	3752.02747	898.4131227	756.2483237	6140.119927	4657.631342	14002.16648	2457.593928	11143.64333	3746.173962	2817.869916	11166.34004	4885.730541	3654.389144	4678.971229	4113.046401	3227.580821	8194.905145	638.4172569	10008.41746	4871.40726	1077.908655	3015.502104	4824.255423	2480.369176	3778.908227	8280.733029	13123.23547	19899.4433	8934.607503	21837.64273	30671.31578	12675.01792	20634.43558	30209.35926	28157.16781	36136.60751	74511.14191	39506.38477	48190.17547	48423.25278	61054.20293	53829.98136	67676.69616	37662.6928	70423.74698	44116.31827	28353.69072	10370.9448	3173.777535	34666.52907	71081.4983	1618.705614	966.0637204	3878.673694	8432.626056	3445.672716	2403.353795	813.272341	1564.483301
livF-PRO-LLIIxIII	80.97293725	240.4579835	336.5093902	98.14827608	373.9826772	230.1699413	109.3812811	597.1191823	268.4914148	1137.797761	305.4861007	100.6825907	173.2538945	594.4044269	1152.380634	394.8496799	250.1597049	902.558276	465.7678386	107.3079236	197.8621392	302.1654471	1135.541849	1716.76211	4143.771364	8818.841575	9782.632943	16688.47041	3102.028967	3249.052188	11050.46974	16577.24045	162.5768158	199.6618599	275.6185478	99.00537566	1120.671394	180.1549568	481.225263	170.0306462	4296.567984	2080.150386	12387.69434	151.4306264	499.4778686	32.7849183	42.43035724	323.7043307	49.89115559	38.03469688	1560.914993	1470.83095	1701.197797	596.7771105	559.1542875	766.3132646	432.4313914	905.6496856	44.85681029	856.8266667	410.9907161	625.0741753	523.3256987	1007.347144	21.30956784	207.1111856	1018.864048	123.5887291	266.0737151	464.1430692	114.7573401	1096.312111	402.4254512	506.9509519	182.9143505	172.3860616	274.5815996	1145.767543	4869.061762	3953.903823	8584.080227	9958.02276	20075.89306	9495.225164	9160.900816	5752.142961	10738.21087	13261.23547	10456.8376	8386.785066	12355.40827	6187.860614	2141.568848	5907.018899	1504.593028	1378.087614	230.5817772	201.0495812	43.73141905	33.92673294	107.8222499	179.4175757	517.0859465	153.9618265	42.80380742	92.85287231
livF-PRO-LLIV	3468.975894	8537.789995	1132.341817	564.853344	2645.471665	6444.758356	2110.989056	54355.15339	7176.04327	8176.569463	3856.136025	1598.683789	1798.610346	2751.39167	5558.687658	4649.52229	6558.698428	52671.8402	4413.403406	4371.385939	4297.387809	5875.892951	24251.92949	32904.60712	12322.26748	9973.689877	11413.07177	16020.93159	10340.09656	16245.26094	12789.89553	24698.4138	5511.657939	2045.065962	4487.414481	1766.464334	6112.753059	900.774784	12749.08056	1673.077355	11872.09575	4550.32897	40615.39128	3247.512246	20671.69529	1020.430582	977.3613322	10275.97763	1051.065166	443.5734779	7345.091601	1838.538687	6543.06845	2701.943611	6380.391247	12967.43995	9912.005814	6055.029535	718.1666872	4956.016539	16566.08733	11611.02014	8132.237951	5847.220845	389.6606691	7237.990908	9166.275185	924.7660992	8301.834594	15809.18931	6619.686567	18251.45303	10745.76922	11409.00957	4611.079672	4398.05465	7394.090218	25383.15788	772.8669463	12108.83046	10317.40412	10301.40286	9559.949077	28353.79737	16031.57643	19812.93686	18234.6977	30198.85306	19913.45594	31566.92713	9373.068343	32412.60321	23557.25733	15476.38952	27727.50009	19314.10671	6931.14411	3941.409499	601.9501211	565.7282717	2265.243014	3588.351513	16133.08153	1659.689123	388.0258195	1385.20134
livF-SYN	3269.877731	28184.89199	1478.676298	807.2194951	3577.718338	20444.50655	2044.106235	24153.03823	10311.29075	13878.53695	5411.945019	809.9107851	1198.094728	2868.196034	11568.41462	3497.598542	14864.75299	20977.95854	3832.459281	10688.99874	10082.07642	9412.045345	59169.84134	22031.78042	89309.17756	96587.31249	111685.0594	165683.1342	90254.27138	92103.56637	138437.8292	257365.8441	12723.5351	1670.699975	3526.194795	2795.59916	14466.84891	7026.043315	56588.02424	1217.443631	90001.79251	26261.89863	185612.3382	2922.910952	35873.9461	2604.937392	1607.23267	33393.04448	2003.092665	608.061193	14326.42554	4535.062096	9945.464043	5659.984485	12050.81896	20934.43632	16893.08775	9551.398343	909.0369922	9462.550237	52896.61281	33854.13399	21731.4039	11187.6267	460.5475988	10103.16873	17041.75582	1357.863993	26308.66611	47240.23695	14790.61051	62293.80159	35463.92318	39424.58254	9456.944929	8467.544413	20770.13671	82671.53505	125513.5921	90816.22844	118031.1031	96833.18684	139862.055	92578.44535	106953.517	122712.3832	104950.8157	184475.6024	139485.1206	92604.08511	174850.3294	80736.84801	70243.45822	71593.06906	73456.38106	63162.34896	14456.75686	5949.811045	1007.108856	2007.614422	5217.913857	14532.82363	48331.08326	2342.350052	745.3445597	1466.374606
livH-PRO-HLI	23055.13714	4679.291691	3311.781615	3074.418928	6343.212816	31491.13577	1225.260684	348.699318	416.0985681	19405.89574	2808.510279	1080.343868	5326.822555	1033.016813	17822.31987	869.1397546	11224.90039	294.3041263	746.1531976	5183.022281	60013.88716	59198.8685	238.8331063	0	0	0	0	0	0	0	0	0	40977.90963	1616.311171	7638.401658	9924.825409	0	0	1731.063882	12636.73315	0	0	0	93949.8902	23571.28324	6865.736142	7407.194706	3760.971851	7233.648865	6771.766695	30647.53253	0	0	8715.570791	10939.48172	11647.12623	3306.15714	19214.89115	22194.24526	17326.29284	1015.836017	7195.330046	7248.738119	18161.28453	9365.569381	91890.98572	21655.99034	8172.983129	5141.688579	1077.073396	5190.009261	717.5774695	3039.192509	9105.495989	74101.0121	96402.4317	56947.26156	163.9080287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.4718479	299.7984149	647.1853938	46363.16356	12598.20111	6693.223013	10693.4071	28855.67708	667.3321427	9224.401045	66162.81379	30063.40174	36132.86798
livH-PRO-HLII	17830.36509	81161.52397	49937.09877	60367.13451	51950.38454	20445.73741	8516.360745	970.9934856	7221.201513	57653.15694	13173.29987	8232.751309	36899.11146	9821.705027	51207.09991	10018.44327	11022.01968	1225.728174	10660.34016	129805.2289	51555.45233	32519.25701	4273.855587	0	337.9932302	0	0	0	0	0	0	0	23655.12139	24056.27995	91179.21509	61496.7701	0	0	3819.264729	41980.78118	0	241.7808026	0	48969.97334	14169.38602	143735.1551	155203.2566	70706.98022	155479.4823	151349.8277	105798.0997	0	0	23650.30724	36556.50893	79014.42881	9939.496267	51818.1024	125765.6874	53623.1276	3788.970355	21329.27233	20914.81246	52520.89253	145940.0498	46347.03479	90271.03475	162990.9885	94385.48917	24561.98237	118023.5688	5235.657833	59338.91487	30107.58734	49411.39316	53022.3878	30524.02399	2458.620431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2197.077719	3730.824719	1605.019777	24928.11789	20668.11229	149034.9418	148989.4777	129681.6331	13791.53095	6648.387612	56309.4929	89300.72817	130304.3656
livH-PRO-HLVI	7.381706777	26.58418735	12.18126571	13.65856551	28.71199522	8.393159855	1.295658108	16.09381468	0	6.704635067	0	8.275854719	51.42511309	1.609060457	0	2.592899029	4.663924543	0	0.784598525	9.102849183	59.26072469	50.62544875	0	0	0	0	0	0	0	0	0	0	29.19862084	10.92102143	63.00373239	29.07190519	0	0	0	82.14683011	0	0	0	38.10675879	25.41234043	70.40663979	75.73401389	16.21545395	31.38943383	33.07035058	10.17273117	0	0	0	1.438270013	15.81182288	0	13.66281853	64.97759068	2.902469694	1.633176877	0.602623957	3.017792722	2.596509333	15.36665097	26.50956411	20.98098152	53.6293725	11.92967188	3.591574865	4.368169391	0	6.25900193	6.479627104	64.31057348	65.76193622	65.13320244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.62812313	18.17547563	70.96275516	79.39347392	60.18593359	0	5.828084691	0	6.345167105	87.60711797
